Zipcode,ZipcodeType,City,State,Population,Density,TotalWages,Wealthy,HouseOfUnits,LandArea,WaterArea,Latitude,Longitude,NEBoundLatitude,NEBoundLongitude,SWBoundLatitude,SWBoungLongitude
90001,Standard,Los Angeles,CA,57110,16317.142857142857,421709138.0,7384.155804587638,13788,3.5,0.0,33.96978970000001,-118.24681480000001,33.9894491,-118.231599,33.948139000000005,-118.26518200000001
90002,Standard,Los Angeles,CA,51223,16739.54248366013,352278879.0,6877.357417566328,12598,3.06,0.0,33.951113299999996,-118.2497386,33.960209899999995,-118.22650700000001,33.937793,-118.265161
90003,Standard,Los Angeles,CA,66266,18666.47887323944,463744071.0,6998.220369420214,17127,3.55,0.0,33.9657994,-118.27312690000001,33.993299,-118.2610291,33.938263799999994,-118.2870971
90004,Standard,Los Angeles,CA,62180,20386.88524590164,891085777.0,14330.74585075587,24278,3.05,0.0,34.0748887,-118.3082034,34.083732899999994,-118.28304399999999,34.068528,-118.338498
90005,Standard,Los Angeles,CA,37681,34889.81481481482,369162475.0,9797.045593269815,16345,1.08,0.0,34.0578814,-118.30966480000001,34.0637149,-118.282294,34.05513,-118.3393861
90006,Standard,Los Angeles,CA,59185,30825.520833333336,398768368.0,6737.659339359635,20332,1.92,0.0,34.0470832,-118.2965121,34.055942,-118.27431299999999,34.0392851,-118.31013100000001
90007,Standard,Los Angeles,CA,40920,16566.801619433198,262370773.0,6411.797971652004,12762,2.47,0.0,34.0295114,-118.2848199,34.040042,-118.264679,34.0130389,-118.30411299999999
90008,Standard,Los Angeles,CA,32327,8808.446866485014,426689767.0,13199.176137593962,15006,3.67,0.03,34.008323100000005,-118.3491169,34.021699100000006,-118.3170689,33.996806,-118.374632
90010,Standard,Los Angeles,CA,3800,8260.86956521739,122651252.0,32276.64526315789,2382,0.46,0.0,34.0625448,-118.3089341,34.064935999999996,-118.284208,34.057713,-118.33846899999999
90011,Standard,Los Angeles,CA,103892,24217.249417249415,678782526.0,6533.539887575559,23547,4.29,0.0,34.007889,-118.2585096,34.030991,-118.2429529,33.986061799999995,-118.2740209
90012,Standard,Los Angeles,CA,31103,9629.411764705883,288859252.0,9287.182972703597,11370,3.23,0.06,34.0653347,-118.24389099999999,34.095664899999996,-118.2245129,34.045538,-118.25679
90013,Standard,Los Angeles,CA,11772,17570.149253731342,115494378.0,9810.939347604486,7516,0.67,0.01,34.043925,-118.2424291,34.0523471,-118.228292,34.038137,-118.2541801
90014,Standard,Los Angeles,CA,7005,25017.857142857138,91984035.0,13131.197002141329,4990,0.28,0.0,34.0434783,-118.2519314,34.050176,-118.24524,34.037303,-118.257926
90015,Standard,Los Angeles,CA,18986,11102.923976608188,196952937.0,10373.587748867589,8245,1.71,0.0,34.0390107,-118.2672801,34.053104,-118.2492601,34.02588,-118.28284599999999
90016,Standard,Los Angeles,CA,47596,13111.84573002755,570516671.0,11986.65163038911,17204,3.63,0.0,34.02551879999999,-118.3520389,34.042775799999994,-118.328379,34.0128219,-118.38927609999999
90017,Standard,Los Angeles,CA,23768,32558.90410958904,229419093.0,9652.435753954898,10610,0.73,0.0,34.054379700000005,-118.2672801,34.060871,-118.2541801,34.043726899999996,-118.27431299999999
90018,Standard,Los Angeles,CA,49310,17003.44827586207,480700270.0,9748.53518556074,16658,2.9,0.0,34.0309972,-118.31989399999999,34.043692,-118.30016709999998,34.017254,-118.335101
90019,Standard,Los Angeles,CA,64458,16570.17994858612,871676252.0,13523.166278817214,25116,3.89,0.0,34.0489277,-118.34035060000001,34.05932,-118.3090081,34.036751,-118.37381189999999
90020,Standard,Los Angeles,CA,38967,34484.07079646018,526453188.0,13510.23142659173,17900,1.13,0.0,34.0655627,-118.30966480000001,34.071186,-118.28430209999999,34.061713899999994,-118.337763
90021,Standard,Los Angeles,CA,3951,1908.6956521739125,41457695.0,10492.962541128829,1761,2.07,0.03,34.0309258,-118.2380432,34.04226,-118.2237219,34.017303000000005,-118.2574371
90022,Standard,Los Angeles,CA,67179,15337.671232876712,622984671.0,9273.503192962087,17713,4.38,0.0,34.02381870000001,-118.153228,34.0515848,-118.126646,34.005738,-118.19306
90023,Standard,Los Angeles,CA,45903,10877.488151658768,386600337.0,8422.114829096137,11259,4.22,0.03,34.0224471,-118.2000277,34.043062899999995,-118.1724361,34.005356,-118.229432
90024,Standard,Los Angeles,CA,47452,16140.136054421768,1258492976.0,26521.389530472894,19932,2.94,0.0,34.0631451,-118.4367551,34.0827491,-118.4140821,34.04886679999999,-118.45993600000001
90025,Standard,Los Angeles,CA,42147,16399.610894941634,,,23058,2.57,0.0,34.0448583,-118.4484367,34.0609399,-118.4162,34.032633000000004,-118.47088799999999
90026,Standard,Los Angeles,CA,67869,16044.680851063828,954653353.0,14066.11785940562,26686,4.23,0.09,34.0796167,-118.2585096,34.0990219,-118.23752309999999,34.0565219,-118.28445409999999
90027,Standard,Los Angeles,CA,45151,5466.222760290557,982450409.0,21759.21704945627,23390,8.26,0.1,34.1220545,-118.29358909999998,34.156594899999995,-118.26593700000001,34.094974,-118.3287261
90028,Standard,Los Angeles,CA,28714,18890.78947368421,379215740.0,13206.64971790764,17126,1.52,0.0,34.101218100000004,-118.32573899999998,34.107731099999995,-118.30920309999999,34.093443900000004,-118.346769
90029,Standard,Los Angeles,CA,38617,28394.85294117647,401892441.0,10407.137814951964,14723,1.36,0.0,34.088050700000004,-118.2965121,34.096706,-118.2771619,34.083509,-118.31081
90031,Standard,Los Angeles,CA,39316,11395.942028985506,396598065.0,10087.446968155458,11903,3.45,0.08,34.081032,-118.2117257,34.1028881,-118.1906399,34.056508,-118.24443590000001
90032,Standard,Los Angeles,CA,45786,9598.742138364782,554013323.0,12100.059472327786,13521,4.77,0.01,34.0795169,-118.1766294,34.101920899999996,-118.15529,34.060632,-118.20284099999999
90033,Standard,Los Angeles,CA,48852,14939.449541284404,357180523.0,7311.482088757881,13690,3.27,0.03,34.0502898,-118.2117257,34.065599,-118.1924251,34.0347749,-118.230333
90034,Standard,Los Angeles,CA,57964,18637.942122186498,1244231596.0,21465.59236767649,27210,3.11,0.01,34.0324632,-118.39586299999999,34.046409000000004,-118.3694591,34.012009899999995,-118.4299179
90035,Standard,Los Angeles,CA,28418,13795.145631067959,708020742.0,24914.51692589204,14030,2.06,0.0,34.050751,-118.3841777,34.062951,-118.36489399999999,34.0414099,-118.40664309999998
90036,Standard,Los Angeles,CA,36865,14925.101214574895,1069043429.0,28998.872345042724,19920,2.47,0.0,34.066481700000004,-118.3520389,34.083811,-118.336545,34.05448,-118.3648231
90037,Standard,Los Angeles,CA,62276,21928.16901408451,428398470.0,6879.029963388785,17192,2.84,0.0,34.002058,-118.28189669999999,34.018268,-118.27278999999999,33.98912200000001,-118.30235400000001
90038,Standard,Los Angeles,CA,28917,18418.471337579616,330114199.0,11415.921395718782,12812,1.57,0.0,34.0895186,-118.3315838,34.0948309,-118.3091451,34.0816499,-118.345153
90039,Standard,Los Angeles,CA,28514,7563.395225464191,645960187.0,22654.141369152003,12127,3.77,0.2,34.1103407,-118.2585096,34.153837,-118.226003,34.081175099999996,-118.27958899999999
90040,Standard,Los Angeles,CA,12520,2243.727598566308,153990923.0,12299.594488817893,3397,5.58,0.0,33.993047100000005,-118.153228,34.017058,-118.121307,33.970934,-118.1836491
90041,Standard,Los Angeles,CA,27425,7596.952908587258,541197806.0,19733.739507748403,9998,3.61,0.01,34.13224690000001,-118.2117257,34.1516259,-118.180646,34.116283,-118.22928999999999
90042,Standard,Los Angeles,CA,62430,13454.741379310346,851843674.0,13644.780938651289,21018,4.64,0.03,34.1175895,-118.18832900000001,34.133731899999994,-118.1655869,34.0910529,-118.2154341
90043,Standard,Los Angeles,CA,44789,10844.794188861986,615346996.0,13738.797383286077,17172,4.13,0.0,33.990382700000005,-118.3286614,34.00369,-118.3171119,33.9672489,-118.3588979
90044,Standard,Los Angeles,CA,89779,17466.731517509732,698006487.0,7774.718887490393,27479,5.14,0.0,33.9478802,-118.29358909999998,33.989877,-118.2824629,33.916422,-118.30905390000001
90045,Standard,Los Angeles,CA,39480,3679.4035414725067,1086342467.0,27516.273226950358,16127,10.73,0.0,33.9516114,-118.38757749999999,33.9827959,-118.36477990000002,33.9236609,-118.439196
90046,Standard,Los Angeles,CA,48581,8405.017301038062,1384367441.0,28496.06720734444,30688,5.78,0.0,34.114731299999995,-118.36372639999999,34.131085999999996,-118.3440351,34.081519,-118.3971081
90047,Standard,Los Angeles,CA,48606,10276.109936575052,600392169.0,12352.223367485496,17150,4.73,0.0,33.9519253,-118.3082034,33.9897189,-118.3001929,33.9157489,-118.31823
90048,Standard,Los Angeles,CA,21397,11321.16402116402,753464171.0,35213.54259942983,12939,1.89,0.0,34.074154799999995,-118.37249150000001,34.083811,-118.361375,34.05576,-118.3907139
90049,Standard,Los Angeles,CA,35482,2362.3169107856197,2124002456.0,59861.40736147906,18097,15.02,0.0,34.096305799999996,-118.4980744,34.13243370000001,-118.45338400000001,34.041275799999994,-118.528682
90056,Standard,Los Angeles,CA,7827,4953.79746835443,232623389.0,29720.632298454067,3518,1.58,0.0,33.9885683,-118.36664820000001,34.0713638,-118.23505290000001,33.97655900000001,-118.38503899999999
90057,Standard,Los Angeles,CA,44998,50559.55056179776,278373802.0,6186.359438197253,17247,0.89,0.01,34.06170609999999,-118.2789735,34.072782000000004,-118.2665471,34.05188010000001,-118.28436
90058,Standard,Los Angeles,CA,3223,554.7332185886403,39636827.0,12298.115730685697,921,5.81,0.23,34.00637469999999,-118.2234229,34.045639,-118.1685449,33.979671999999994,-118.24352009999998
90059,Standard,Los Angeles,CA,40952,12372.205438066465,310497390.0,7581.983541707365,10617,3.31,0.02,33.9287591,-118.24681480000001,33.940517,-118.224953,33.9021289,-118.265295
90061,Standard,Los Angeles,CA,26872,10102.255639097744,238903309.0,8890.417869901756,7385,2.66,0.0,33.919644299999995,-118.27312690000001,33.939315,-118.26215900000001,33.901582899999994,-118.28718400000001
90062,Standard,Los Angeles,CA,32821,17005.699481865286,300291630.0,9149.374790530454,9795,1.93,0.0,34.0031792,-118.3082034,34.01839879999999,-118.300164,33.989098799999994,-118.3192669
90063,Standard,Los Angeles,CA,55758,17051.376146788993,477209438.0,8558.582409699056,14012,3.27,0.0,34.0440239,-118.18540420000001,34.063459,-118.16766399999999,34.0273089,-118.20603600000001
90064,Standard,Los Angeles,CA,25403,6350.75,1105519048.0,43519.231901743886,11540,4.0,0.0,34.0386656,-118.4221519,34.0532549,-118.39865,34.017233000000004,-118.46146
90065,Standard,Los Angeles,CA,45527,8622.537878787878,749994392.0,16473.61767742219,15288,5.28,0.0,34.10885,-118.2234229,34.137524299999995,-118.200556,34.079462799999995,-118.25413490000001
90066,Standard,Los Angeles,CA,55277,11235.162601626016,1310888864.0,23714.90609114098,25319,4.92,0.06,34.0050173,-118.4338345,34.0268609,-118.407918,33.973535,-118.455804
90067,Standard,Los Angeles,CA,2424,7345.454545454545,1433083360.0,591206.00660066,1808,0.33,0.0,34.057132700000004,-118.41484979999998,34.063981899999995,-118.406023,34.0491411,-118.42157209999999
90068,Standard,Los Angeles,CA,22286,2924.6719160104985,763067439.0,34239.76662478686,13901,7.62,0.18,34.1235157,-118.3286614,34.152483000000004,-118.30100890000001,33.975023,-118.39308999999999
90071,Standard,Los Angeles,CA,15,125.0,75762361.0,5050824.066666666,0,0.12,0.0,34.052996,-118.2548551,34.056087,-118.250157,34.048743,-118.259363
90077,Standard,Los Angeles,CA,9377,1279.263301500682,623152506.0,66455.4234829903,3888,7.33,0.14,34.1014861,-118.45719740000001,34.132908,-118.422647,34.0734518,-118.48225190000001
90079,Standard,Los Angeles,CA,0,0.0,,,0,0.01,0.0,34.0405313,-118.25540320000002,34.041599,-118.254093,34.039571,-118.256716
